date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2018-05-31,23:06:43,110.0000,63.0000,113035.0000,113035.0000,459.0000,0.0000
2018-05-31,23:06:45,196.5000,0.0000,118407.5000,118407.5000,1459.5000,0.0000
2018-05-31,23:06:47,30.0000,0.0000,110433.0000,110433.0000,370.0000,0.0000
2018-05-31,23:06:50,0.0000,0.0000,94239.5000,94239.5000,562.0000,0.0000
2018-05-31,23:06:52,138.0000,0.0000,130316.5000,130316.5000,700.0000,0.0000
2018-05-31,23:06:54,296.0000,42.0000,124791.5000,124791.5000,296.0000,0.0000
2018-05-31,23:06:56,399.0000,21.0000,127516.0000,127516.0000,459.0000,0.0000
2018-05-31,23:06:58,138.0000,0.0000,91100.0000,91100.0000,92.0000,0.0000
2018-05-31,23:07:00,171.5000,0.0000,121826.0000,121826.0000,171.5000,0.0000
2018-05-31,23:07:02,138.0000,0.0000,131116.5000,131116.5000,138.0000,0.0000
2018-05-31,23:07:04,138.0000,0.0000,127086.5000,127086.5000,138.0000,0.0000
2018-05-31,23:07:06,92.0000,0.0000,106344.0000,106344.0000,92.0000,0.0000
2018-05-31,23:07:09,230.0000,0.0000,101789.0000,101789.0000,276.0000,0.0000
2018-05-31,23:07:11,0.0000,0.0000,126281.0000,126281.0000,1623.5000,0.0000
2018-05-31,23:07:13,0.0000,21.0000,121926.0000,121926.0000,27.0000,0.0000
2018-05-31,23:07:15,0.0000,42.0000,125289.5000,125289.5000,27.0000,0.0000
2018-05-31,23:07:17,30.0000,0.0000,72504.0000,72504.0000,0.0000,0.0000
2018-05-31,23:07:19,0.0000,0.0000,39232.0000,39232.0000,0.0000,0.0000
2018-05-31,23:07:21,79.5000,42.0000,58745.5000,58745.5000,295.5000,0.0000
2018-05-31,23:07:23,552.0000,21.0000,55622.0000,55622.0000,697.0000,0.0000
2018-05-31,23:07:26,0.0000,0.0000,64428.5000,64428.5000,0.0000,0.0000
2018-05-31,23:07:28,0.0000,0.0000,39652.5000,39652.5000,0.0000,0.0000
2018-05-31,23:07:30,0.0000,0.0000,42978.5000,42978.5000,0.0000,0.0000
2018-05-31,23:07:32,0.0000,0.0000,54499.5000,54499.5000,0.0000,0.0000
2018-05-31,23:07:34,0.0000,21.0000,52600.5000,52600.5000,0.0000,0.0000
2018-05-31,23:07:36,0.0000,42.0000,124609.5000,124609.5000,0.0000,0.0000
2018-05-31,23:07:38,172.0000,0.0000,90261.0000,90261.0000,198.0000,0.0000
2018-05-31,23:07:40,221.5000,42.0000,109299.5000,109299.5000,1712.5000,0.0000
2018-05-31,23:07:42,142.0000,21.0000,116654.5000,116654.5000,66.0000,0.0000
2018-05-31,23:07:45,0.0000,42.0000,102437.5000,102437.5000,0.0000,0.0000
2018-05-31,23:07:47,0.0000,21.0000,111836.5000,111836.5000,0.0000,0.0000
2018-05-31,23:07:49,30.0000,21.0000,89452.0000,89452.0000,21.0000,0.0000
2018-05-31,23:07:51,313.0000,42.0000,98782.5000,98782.5000,408.0000,181.0000
2018-05-31,23:07:53,0.0000,0.0000,100212.5000,100212.5000,0.0000,0.0000
2018-05-31,23:07:55,0.0000,0.0000,70843.0000,70843.0000,0.0000,0.0000
2018-05-31,23:07:57,0.0000,0.0000,77900.5000,77900.5000,0.0000,0.0000
2018-05-31,23:07:59,0.0000,0.0000,89638.0000,89638.0000,0.0000,0.0000
2018-05-31,23:08:01,79.5000,0.0000,135452.5000,135452.5000,79.5000,0.0000
2018-05-31,23:08:04,0.0000,0.0000,87967.5000,87967.5000,0.0000,0.0000
2018-05-31,23:08:06,0.0000,0.0000,73121.5000,73121.5000,0.0000,0.0000
2018-05-31,23:08:08,0.0000,0.0000,62136.5000,62136.5000,0.0000,0.0000
2018-05-31,23:08:10,0.0000,0.0000,77803.5000,77803.5000,841.5000,0.0000
2018-05-31,23:08:12,0.0000,0.0000,88875.0000,88875.0000,216.0000,0.0000
2018-05-31,23:08:14,0.0000,0.0000,51831.5000,51831.5000,216.0000,0.0000
2018-05-31,23:08:16,0.0000,0.0000,52593.0000,52593.0000,43.0000,0.0000
2018-05-31,23:08:18,0.0000,0.0000,51446.0000,51446.0000,0.0000,0.0000
2018-05-31,23:08:20,109.5000,0.0000,106244.0000,106244.0000,100.5000,0.0000
2018-05-31,23:08:23,0.0000,0.0000,109936.5000,109936.5000,0.0000,0.0000
2018-05-31,23:08:25,0.0000,0.0000,121028.0000,121028.0000,0.0000,0.0000
2018-05-31,23:08:27,212.0000,0.0000,86420.5000,86420.5000,46.0000,0.0000
2018-05-31,23:08:29,292.0000,0.0000,91122.0000,91122.0000,400.5000,0.0000
2018-05-31,23:08:31,0.0000,0.0000,118878.0000,118878.0000,217.0000,0.0000
2018-05-31,23:08:33,0.0000,0.0000,52583.0000,52583.0000,108.5000,0.0000
2018-05-31,23:08:35,0.0000,0.0000,50472.5000,50472.5000,0.0000,0.0000
2018-05-31,23:08:37,0.0000,0.0000,36717.5000,36717.5000,0.0000,0.0000
2018-05-31,23:08:39,0.0000,0.0000,44199.0000,44199.0000,0.0000,0.0000
2018-05-31,23:08:42,79.5000,0.0000,60405.0000,60405.0000,1676.0000,0.0000
2018-05-31,23:08:44,0.0000,0.0000,51117.0000,51117.0000,0.0000,0.0000
2018-05-31,23:08:46,0.0000,21.0000,51032.5000,51032.5000,0.0000,0.0000
2018-05-31,23:08:48,0.0000,42.0000,35027.5000,35027.5000,106.5000,0.0000
2018-05-31,23:08:50,30.0000,0.0000,56132.0000,56132.0000,234.0000,0.0000
2018-05-31,23:08:52,0.0000,42.0000,58533.0000,58533.0000,106.5000,0.0000
2018-05-31,23:08:54,0.0000,21.0000,50838.0000,50838.0000,0.0000,0.0000
2018-05-31,23:08:56,0.0000,21.0000,44112.0000,44112.0000,0.0000,0.0000
2018-05-31,23:08:58,0.0000,42.0000,36064.5000,36064.5000,0.0000,0.0000
2018-05-31,23:09:01,79.5000,0.0000,54410.0000,54410.0000,79.5000,0.0000
2018-05-31,23:09:03,0.0000,42.0000,59368.0000,59368.0000,0.0000,0.0000
2018-05-31,23:09:05,0.0000,0.0000,51637.0000,51637.0000,0.0000,0.0000
2018-05-31,23:09:07,0.0000,0.0000,44904.5000,44904.5000,0.0000,0.0000
2018-05-31,23:09:09,184.0000,0.0000,49754.0000,49754.0000,184.0000,0.0000
2018-05-31,23:09:11,200.0000,0.0000,61198.5000,61198.5000,1606.0000,0.0000
2018-05-31,23:09:13,0.0000,0.0000,55801.5000,55801.5000,54.0000,0.0000
2018-05-31,23:09:15,0.0000,0.0000,50563.5000,50563.5000,27.0000,0.0000
2018-05-31,23:09:17,0.0000,0.0000,38049.5000,38049.5000,0.0000,0.0000
2018-05-31,23:09:20,0.0000,0.0000,45150.5000,45150.5000,0.0000,0.0000
2018-05-31,23:09:22,464.5000,0.0000,54140.5000,54140.5000,671.5000,0.0000
2018-05-31,23:09:24,360.0000,0.0000,53852.0000,53852.0000,397.0000,0.0000
2018-05-31,23:09:26,184.0000,0.0000,48625.5000,48625.5000,616.0000,0.0000
2018-05-31,23:09:28,234.0000,0.0000,45852.0000,45852.0000,452.0000,0.0000
2018-05-31,23:09:30,276.0000,42.0000,51209.0000,51209.0000,448.0000,0.0000
2018-05-31,23:09:32,138.0000,21.0000,54960.0000,54960.0000,224.0000,0.0000
2018-05-31,23:09:34,0.0000,0.0000,76159.5000,76159.5000,172.0000,0.0000
2018-05-31,23:09:36,142.0000,0.0000,73813.5000,73813.5000,238.0000,0.0000
2018-05-31,23:09:39,30.0000,0.0000,41523.5000,41523.5000,193.0000,0.0000
2018-05-31,23:09:41,79.5000,0.0000,78702.5000,78702.5000,1648.5000,0.0000
2018-05-31,23:09:43,0.0000,0.0000,90159.0000,90159.0000,0.0000,0.0000
2018-05-31,23:09:45,210.0000,0.0000,69349.0000,69349.0000,0.0000,0.0000
2018-05-31,23:09:47,1120.0000,21.0000,61795.0000,61795.0000,1258.5000,0.0000
2018-05-31,23:09:49,0.0000,42.0000,58325.0000,58325.0000,0.0000,0.0000
2018-05-31,23:09:51,0.0000,21.0000,65641.5000,65641.5000,0.0000,0.0000
2018-05-31,23:09:53,30.0000,42.0000,73866.0000,73866.0000,21.0000,0.0000
2018-05-31,23:09:55,0.0000,0.0000,51533.0000,51533.0000,0.0000,0.0000
2018-05-31,23:09:58,0.0000,42.0000,37398.5000,37398.5000,0.0000,0.0000
2018-05-31,23:10:00,0.0000,21.0000,55969.0000,55969.0000,0.0000,0.0000
2018-05-31,23:10:02,0.0000,21.0000,51876.0000,51876.0000,79.5000,0.0000
2018-05-31,23:10:04,490.0000,42.0000,66403.5000,66403.5000,414.0000,0.0000
2018-05-31,23:10:06,138.0000,0.0000,59657.5000,59657.5000,276.0000,0.0000
2018-05-31,23:10:08,0.0000,0.0000,66175.5000,66175.5000,0.0000,0.0000
2018-05-31,23:10:10,0.0000,0.0000,63146.5000,63146.5000,1185.0000,0.0000
2018-05-31,23:10:12,0.0000,0.0000,54312.5000,54312.5000,216.0000,0.0000
2018-05-31,23:10:14,0.0000,0.0000,75687.5000,75687.5000,108.0000,0.0000
2018-05-31,23:10:17,0.0000,0.0000,49499.0000,49499.0000,0.0000,0.0000
2018-05-31,23:10:19,0.0000,0.0000,39184.0000,39184.0000,0.0000,0.0000
2018-05-31,23:10:21,79.5000,0.0000,65069.5000,65069.5000,79.5000,0.0000
2018-05-31,23:10:23,30.0000,0.0000,75119.5000,75119.5000,0.0000,0.0000
2018-05-31,23:10:25,0.0000,0.0000,72402.0000,72402.0000,21.0000,0.0000
2018-05-31,23:10:27,0.0000,0.0000,53736.0000,53736.0000,0.0000,0.0000
2018-05-31,23:10:29,171.0000,0.0000,64611.0000,64611.0000,279.5000,0.0000
2018-05-31,23:10:31,0.0000,0.0000,86998.0000,86998.0000,217.0000,0.0000
2018-05-31,23:10:34,0.0000,0.0000,105932.5000,105932.5000,108.5000,0.0000
2018-05-31,23:10:36,0.0000,0.0000,75015.0000,75015.0000,0.0000,0.0000
2018-05-31,23:10:38,0.0000,0.0000,79889.5000,79889.5000,0.0000,0.0000
